Alanine,Arginine,Aspartic Acid,Asparagine,Cysteine,Glutamine,Glutamic Acid,Glycine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine
155.9230769,114.9333333,225.2727273,233.3571429,142.6666667,180.7,214.1111111,195.625,162.6,164.6428571,149.2352941,164.5789474,150.4444444,185.2307692,185.6875,195.375,184.875,139.6,134.2941176,130.9
1226.832402,1130.508772,1304.892857,1072.697368,1094.793103,1170.257143,1280.661972,1124.45122,1124.746479,1122.378641,1167.739837,1301.0625,1125.47541,1074.418182,1322.076471,1219.782609,1258.752137,1016.2,1015.375,1144.424051
205.0909091,203.84,228.5806452,248.5294118,176.5714286,194.1428571,237.5,173.4545455,210.2,226.125,194.8205128,195.5277778,248.1666667,175.1875,199.4333333,229.0714286,210.6666667,0,162.4615385,189.7631579
143.75,210.75,152.5555556,190.75,160,206.2727273,136.8571429,178.6315789,257,176.9473684,145.6888889,228.9,195.375,151.8421053,189.6923077,165.4117647,130.7,189.8,175.25,154.4
859.7913043,879,922.7659574,904.8764045,857.1025641,955.6862745,913.0787402,951.5043478,925.52,974.1366906,896.225,969.0918367,977.3098592,896.6160714,947.2359551,964.5454545,874.0444444,748.9736842,919.203125,918.8888889
277.1,359.7111111,273.875,223.5555556,321.5882353,407.5,339.8461538,191.3174603,357.6666667,280.9333333,293.2037037,352.375,226.875,281.7407407,338.8611111,268.7959184,298.1818182,322.8888889,329.4166667,243.2881356
382.7831325,472.4146341,461.1621622,567.3157895,487.5185185,336.1403509,416.5,386.2045455,521.4736842,657.0434783,468.7317073,556.425,605.8636364,613.3571429,358.5066667,403.1,449.0833333,586.25,470.9090909,502.3414634
143.2666667,149.8125,183.4444444,152.6,173.2,146.3333333,200.8,177.6428571,156,160.1333333,157.9069767,201.5,149.2857143,145.1111111,175.7272727,166.1153846,158.6666667,106.3333333,177.2,134.3030303
192.5151515,242.7391304,236.6,227.8421053,224.4375,245.4285714,203.6666667,194.6875,217.6153846,271.75,220.9459459,314.2222222,281.5555556,231.3448276,218.5769231,226.804878,273.3461538,194.6666667,279,233.2368421
224.9166667,263.76,244,247.4,264.6666667,276.2222222,275.3333333,256.7826087,274.7,255.21875,201.8627451,275.3125,220.6666667,277,238,247.4693878,240.7826087,236.2727273,234.2941176,182.1785714
260.0344828,209.9473684,172.2941176,165.3684211,265,174,230.6470588,257,206.2727273,219.6666667,191.03125,242.4444444,123.4,197.9545455,216.5172414,205.2666667,187.3846154,194,262.3333333,186.1142857
68.8,65.15384615,55.33333333,68.33333333,77.83333333,80.22222222,48.33333333,48.28571429,80.66666667,5,45.8125,74.18181818,23.4,84.2,65.71428571,41.8,76.5,48.5,0,40.4
320.6590909,355.195122,278.6785714,364.2692308,321.6875,305.6,271.0833333,271.3103448,255.75,348.1212121,332.1549296,349.76,371.0909091,290.3235294,307.5490196,378.1555556,340.4102564,293.625,341.5,318
198.9090909,228.2222222,146.1111111,153.6111111,173.0714286,211.1428571,198.625,162,196.75,173.0645161,169.4772727,220.5625,192,194.5,220.3333333,190.6176471,125.9565217,134.4285714,209.9047619,170.3125
