Alanine,Arginine,Aspartic Acid,Asparagine,Cysteine,Glutamine,Glutamic Acid,Glycine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine
145.5172414,222.4166667,214.3333333,182.9,198.9,257.1428571,92.11111111,108.4375,209.2857143,212.2432432,188.7291667,206.3478261,182.2222222,154.1428571,187.25,263.4615385,231.7777778,147,241.3333333,178.8181818
284.7941176,252.6,214.9583333,216.6470588,282.3076923,183.7857143,198.3333333,195.8571429,291.3846154,242.7368421,227.2641509,252.1666667,261.5625,192.4642857,215.3125,249.025,228.4137931,286,204.2857143,255.7105263
193.5185185,223.8947368,247.875,196.5294118,230,247.8571429,152.1111111,120.7,230,182.6129032,188.6296296,211.8421053,199.4166667,211.4090909,152.5294118,236.4358974,197.5714286,126.3333333,245.2105263,207.1470588
194.9047619,203.3529412,160.1,159.2727273,237.4166667,197.3333333,204.5833333,198.25,232.8,175.32,167.9591837,184.75,171.6,207.3703704,184.7692308,163.5,192.7407407,174.6,153.4666667,185.3333333
158.21875,247.4117647,258.25,171.0714286,256,287,171.6,103.8695652,226.4545455,213.8666667,184.8235294,193.6956522,167.7777778,202.3684211,165.7333333,253.0243902,215.4615385,126.3333333,250.7777778,196.3947368
175.88,199.15,126.4615385,171.6153846,169.8,239.2857143,162.3333333,177.375,239.6666667,223.2666667,164.1372549,261.7857143,148.8571429,200.962963,124.3125,210.7878788,155.9545455,164.8888889,222.7,180.7894737
183.6190476,200.2857143,186.9,197.3125,169.5,251.8,202.2,148.3157895,159.2,169.8461538,180.65,207.4444444,155.4166667,179.3214286,196.0833333,204.2258065,148.0434783,138.5555556,167,141
152.3103448,236.2941176,213.7777778,239.7142857,245.5625,220.3,247.5882353,231.32,211,204.1785714,214.9230769,234.4375,133.4166667,191.0384615,218.6428571,252.7058824,176.7272727,159.375,239.0714286,165.0909091
144.8846154,235,230.4375,230.4285714,250.1428571,229.6666667,243.8333333,225.25,208.8888889,193.4642857,206.974359,231.4375,117.4,192.48,259.7647059,238.5,198.5769231,159.375,226.875,175.3157895
185.1052632,236.1764706,134.9166667,182.8666667,230.5454545,241.25,210.9230769,185.6666667,182.3636364,167.9259259,165.3333333,185.3529412,192.625,193.9285714,174.9285714,158.6538462,207.5,177.6,177.0555556,208.28125
170.5714286,215.1,233.2,193.6923077,254,221.4,154.125,103.125,202.2222222,219.8333333,198.8297872,226.3636364,204.0769231,207.7619048,169.5384615,253.6410256,187.875,124.6666667,243.2105263,171
184.5217391,202.5333333,225,181.9285714,228.2222222,252.1111111,199,119.3684211,228,188.4482759,193.7959184,213.5416667,195,202.0454545,155.5333333,226.8372093,186.8461538,124.6666667,252.1666667,205.325
162.6206897,233.8421053,184.2666667,252.5,242.5714286,247.7222222,241.8947368,233,170.1111111,184.2068966,216.3589744,220.9411765,142.0909091,194.9583333,220.7857143,239.7575758,198.6818182,159.375,247.8666667,170.5833333
188.3809524,245.1052632,278.4444444,184.8333333,168.6666667,241,265.8666667,239.0882353,269.7272727,142.3448276,203.62,233.4444444,146.25,184.2,264.5416667,221.7307692,171.5,170.4285714,184.4545455,177.2857143
224.1212121,143.8888889,196.0909091,214.9285714,302.1764706,272.3333333,161.5333333,150.5625,235.2,235.2333333,210.7142857,216.8823529,170.9285714,222.1428571,169.3913043,242.7090909,194.7826087,180,258.5454545,216.4285714
